Percentile,1999 to 2000,2000 to 2001,2001 to 2002,2002 to 2003,2003 to 2004,2004 to 2005,2005 to 2006,2006 to 2007,2007 to 2008,2009 to 2010,2010 to 2011,2011 to 2012,2012 to 2013,2013 to 2014,2014 to 2015,2015 to 2016,2016 to 2017,2017 to 2018,2018 to 2019,2019 to 2020,2020 to 2021,2021 to 2022,2022 to 2023
 77 , 23300 , 24000 , 25400 , 25700 , 26100 , 27400 , 28700 , 29700 , 30900 , 32300 , 32300 , 33600 , 34300 , 35300 , 35900 , 37100 , 37500 , 38500 , 39400 , 40900 , 41400 , 43100 , 44800 
 78 , 23800 , 24500 , 25900 , 26200 , 26700 , 28000 , 29400 , 30300 , 31600 , 33100 , 33100 , 34400 , 35100 , 36100 , 36800 , 37900 , 38300 , 39400 , 40200 , 41700 , 42300 , 44100 , 45800 
 79 , 24300 , 25100 , 26500 , 26800 , 27300 , 28700 , 30100 , 31000 , 32400 , 33900 , 33900 , 35200 , 35900 , 37000 , 37600 , 38800 , 39200 , 40200 , 41100 , 42700 , 43300 , 45100 , 46900 
 80 , 24900 , 25600 , 27100 , 27500 , 27900 , 29300 , 30800 , 31800 , 33200 , 34700 , 34800 , 36000 , 36700 , 37900 , 38500 , 39700 , 40000 , 41100 , 42000 , 43700 , 44300 , 46100 , 47900 
 81 , 25400 , 26200 , 27800 , 28100 , 28500 , 30000 , 31500 , 32600 , 34100 , 35600 , 35600 , 36900 , 37700 , 38800 , 39400 , 40600 , 41000 , 42100 , 43000 , 44700 , 45300 , 47200 , 49100 
 82 , 26000 , 26800 , 28400 , 28800 , 29200 , 30800 , 32400 , 33500 , 35000 , 36500 , 36500 , 37900 , 38700 , 39800 , 40400 , 41500 , 42000 , 43100 , 44100 , 45700 , 46400 , 48400 , 50000 
 83 , 26700 , 27500 , 29100 , 29500 , 30000 , 31500 , 33300 , 34400 , 35900 , 37500 , 37500 , 39000 , 39700 , 40700 , 41300 , 42300 , 42900 , 44100 , 45200 , 46900 , 47600 , 49500 , 50900 
 84 , 27400 , 28200 , 29900 , 30300 , 30800 , 32400 , 34200 , 35300 , 36900 , 38500 , 38500 , 40000 , 40700 , 41500 , 42000 , 43200 , 43700 , 45000 , 46200 , 48200 , 48900 , 50300 , 52200 
 85 , 28100 , 29000 , 30700 , 31200 , 31600 , 33300 , 35100 , 36300 , 37900 , 39600 , 39600 , 41100 , 41800 , 42500 , 43100 , 44400 , 44900 , 46100 , 47200 , 49500 , 50000 , 51700 , 53700 
 86 , 28900 , 29800 , 31600 , 32000 , 32500 , 34300 , 36200 , 37500 , 39100 , 40800 , 40700 , 42200 , 42800 , 43800 , 44400 , 45800 , 46200 , 47500 , 48600 , 50400 , 51100 , 53200 , 55400 
 87 , 29700 , 30800 , 32600 , 33100 , 33500 , 35300 , 37200 , 38500 , 40100 , 42100 , 42000 , 43400 , 44100 , 45200 , 45900 , 47300 , 47800 , 49000 , 50100 , 51900 , 52700 , 55000 , 57300 
 88 , 30700 , 31800 , 33700 , 34200 , 34600 , 36400 , 38400 , 39800 , 41400 , 43400 , 43300 , 44800 , 45600 , 46700 , 47400 , 49000 , 49600 , 50600 , 51800 , 53800 , 54600 , 57000 , 59400 
 89 , 31800 , 32900 , 34900 , 35400 , 35700 , 37600 , 39700 , 41200 , 43000 , 44800 , 44600 , 46400 , 47200 , 48500 , 49400 , 50900 , 51400 , 52600 , 53800 , 55800 , 56700 , 59300 , 61900 
 90 , 33000 , 34200 , 36200 , 36700 , 37100 , 39000 , 41300 , 42900 , 44900 , 46600 , 46300 , 48300 , 49200 , 50600 , 51400 , 53100 , 53600 , 54900 , 56200 , 58300 , 59200 , 62000 , 64800 
 91 , 34500 , 35800 , 37900 , 38400 , 38800 , 40700 , 43200 , 44800 , 47000 , 48700 , 48400 , 50500 , 51500 , 53100 , 54000 , 55800 , 56300 , 57700 , 59100 , 61200 , 62100 , 65300 , 68000 
 92 , 36300 , 37700 , 39800 , 40400 , 41000 , 42700 , 45500 , 47300 , 49600 , 51200 , 50800 , 53200 , 54300 , 56000 , 57000 , 59000 , 59500 , 61000 , 62400 , 64700 , 65500 , 69200 , 72000 
 93 , 38400 , 40100 , 42200 , 42800 , 43500 , 45100 , 48200 , 50200 , 52600 , 54100 , 53600 , 56500 , 57700 , 59700 , 60700 , 63200 , 63500 , 65000 , 66600 , 68900 , 69900 , 74000 , 76900 
 94 , 41200 , 43000 , 45200 , 45800 , 46600 , 48300 , 51800 , 53800 , 56300 , 58000 , 57300 , 60700 , 62000 , 64400 , 65400 , 68400 , 68600 , 70200 , 71800 , 74100 , 75200 , 79800 , 82900 
 95 , 44600 , 46700 , 49200 , 49800 , 50600 , 52400 , 56200 , 58500 , 61500 , 63200 , 62600 , 66200 , 67900 , 70400 , 71700 , 75000 , 75300 , 76800 , 78500 , 81000 , 82200 , 87400 , 90500 
 96 , 49600 , 51800 , 54600 , 55200 , 56200 , 58100 , 62500 , 65300 , 68700 , 70700 , 69600 , 74100 , 76100 , 78800 , 80300 , 84100 , 83700 , 86000 , 87700 , 90400 , 91800 , 97200 , 99900 
 97 , 56600 , 59200 , 62600 , 63200 , 64600 , 66500 , 72200 , 76000 , 80100 , 81700 , 80100 , 85500 , 88000 , 91300 , 92900 , 97100 , 96400 , 98600 , 99600 , 102000 , 104000 , 111000 , 115000 
 98 , 68600 , 72000 , 76200 , 76900 , 78500 , 81700 , 89800 , 94600 , 99900 , 101000 , 97300 , 104000 , 106000 , 110000 , 112000 , 117000 , 116000 , 121000 , 121000 , 125000 , 128000 , 137000 , 142000 
 99 , 96400 , 102000 , 107000 , 108000 , 111000 , 117000 , 132000 , 141000 , 149000 , 149000 , 140000 , 147000 , 150000 , 159000 , 162000 , 170000 , 166000 , 175000 , 175000 , 180000 , 183000 , 199000 , 201000 
